TA40	Pf3D7_10_v3	100.00	20	0	0	31	50	1322834	1322815	7e-04	40.1
TA40	Pf3D7_10_v3	100.00	19	0	0	1	19	1322568	1322586	0.003	38.2
TA60	Pf3D7_13_v3	100.00	26	0	0	31	56	2588932	2588907	2e-07	52.0
TA60	Pf3D7_13_v3	100.00	20	0	0	1	20	2588612	2588631	8e-04	40.1
TA81	Pf3D7_05_v3	100.00	24	0	0	31	54	1214450	1214427	3e-06	48.1
TA81	Pf3D7_05_v3	100.00	20	0	0	1	20	1214274	1214293	8e-04	40.1
TA87	Pf3D7_06_v3	100.00	20	0	0	1	20	374731	374750	7e-04	40.1
TA87	Pf3D7_06_v3	100.00	20	0	0	31	50	374946	374927	7e-04	40.1
PfPK2	Pf3D7_12_v3	100.00	26	0	0	32	57	1611391	1611366	2e-07	52.0
PfPK2	Pf3D7_12_v3	100.00	21	0	0	1	21	1611148	1611168	2e-04	42.1
PolyA	Pf3D7_04_v3	100.00	20	0	0	1	20	532167	532186	7e-04	40.1
PolyA	Pf3D7_04_v3	100.00	19	0	0	32	50	532320	532302	0.003	38.2
