chrom	start	end	cov1	cov2	cov3	d1	d2	d3	dcov1	dcov2	dcov3	SNPS	S-MATCH0	S-MATCH1	S-MATCH2	S-MATCH3	S-MULTIALLELIC	INDELS	I-MATCH0	I-MATCH1	I-MATCH2	I-MATCH3	I-MULTIALLELIC	S-NUCMER	S-DISCO	S-HAPLO	S-NUCMER,DISCO	S-NUCMER,HAPLO	S-DISCO,HAPLO	S-NUCMER,DISCO,HAPLO	S-	I-NUCMER	I-DISCO	I-HAPLO	I-NUCMER,DISCO	I-NUCMER,HAPLO	I-DISCO,HAPLO	I-NUCMER,DISCO,HAPLO	I-
Pf3D7_07_v3	450000	460000	9973	0	9974	96.4893	0.0	99.7729	96.7428055751	0.0	100.027170644 	39 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	9 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	460000	470000	10000	0	9913	101.8134	0.0	98.666	101.8134	0.0	99.5293049531 	83 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	18 	0.0 	1.0 	0.0 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	470000	480000	10000	5032	9998	101.7225	46.6033	101.4944	101.7225	92.6041335453	101.514602921 	40 	0.0 	0.625 	0.05 	0.325 	0.0 	0.625 	0.0 	0.0 	0.0 	0.05 	0.0 	0.325 	0.0 	30 	0.0 	0.733333333333 	0.266666666667 	0.0 	0.0 	0.6 	0.0 	0.133333333333 	0.0 	0.133333333333 	0.133333333333 	0.0 	0.0 
Pf3D7_07_v3	480000	490000	10000	9992	9685	99.602	98.0119	98.002	99.602	98.0878702962	101.184925142 	30 	0.0 	0.233333333333 	0.366666666667 	0.4 	0.0 	0.2 	0.0 	0.0333333333333 	0.0 	0.2 	0.166666666667 	0.4 	0.0 	13 	0.0 	0.230769230769 	0.461538461538 	0.230769230769 	0.0769230769231 	0.230769230769 	0.0 	0.0 	0.0 	0.230769230769 	0.230769230769 	0.307692307692 	0.0 
Pf3D7_07_v3	490000	500000	10000	10000	10000	100.0416	98.8685	103.7656	100.0416	98.8685	103.7656 	54 	0.0 	0.203703703704 	0.148148148148 	0.648148148148 	0.0 	0.12962962963 	0.0740740740741 	0.0 	0.0 	0.0185185185185 	0.12962962963 	0.648148148148 	0.0 	22 	0.0 	0.409090909091 	0.227272727273 	0.136363636364 	0.227272727273 	0.318181818182 	0.272727272727 	0.0454545454545 	0.0 	0.0 	0.227272727273 	0.136363636364 	0.0 
Pf3D7_07_v3	500000	510000	10000	9997	10000	99.4391	96.9605	100.3145	99.4391	96.988496549	100.3145 	53 	0.0188679245283 	0.207547169811 	0.150943396226 	0.622641509434 	0.0 	0.132075471698 	0.0566037735849 	0.0188679245283 	0.0 	0.0188679245283 	0.132075471698 	0.622641509434 	0.0188679245283 	14 	0.0 	0.285714285714 	0.285714285714 	0.142857142857 	0.285714285714 	0.357142857143 	0.142857142857 	0.0 	0.0 	0.0 	0.285714285714 	0.214285714286 	0.0 
Pf3D7_07_v3	510000	520000	10000	1964	2124	103.6186	9.989	10.3206	103.6186	50.6186354379	47.829566855 	51 	0.0 	0.666666666667 	0.078431372549 	0.254901960784 	0.0 	0.647058823529 	0.0196078431373 	0.0 	0.0196078431373 	0.0196078431373 	0.0392156862745 	0.254901960784 	0.0 	23 	0.0 	0.608695652174 	0.0434782608696 	0.0869565217391 	0.260869565217 	0.608695652174 	0.0869565217391 	0.0434782608696 	0.0434782608696 	0.0 	0.0869565217391 	0.130434782609 	0.0 
Pf3D7_07_v3	520000	530000	10000	472	2114	103.0241	1.2375	5.2906	103.0241	24.2860169492	24.2213812677 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	530000	540000	10000	488	755	101.4081	1.7804	2.0103	101.4081	35.6290983607	26.1218543046 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	540000	550000	10000	591	408	98.7969	1.3657	0.8873	98.7969	22.3807106599	19.6446078431 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	550000	560000	10000	3321	1524	102.4506	16.1083	4.7039	102.4506	48.0803974706	30.093175853 	6 	0.0 	0.166666666667 	0.5 	0.333333333333 	0.0 	0.166666666667 	0.0 	0.0 	0.0 	0.333333333333 	0.166666666667 	0.333333333333 	0.0 	2 	0.0 	1.0 	0.0 	0.0 	0.0 	0.5 	0.0 	0.5 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	560000	570000	10000	6693	345	101.8175	55.8607	1.0885	101.8175	83.2235171074	30.2173913043 	82 	0.0 	0.560975609756 	0.207317073171 	0.231707317073 	0.0 	0.548780487805 	0.0121951219512 	0.0 	0.0 	0.134146341463 	0.0731707317073 	0.231707317073 	0.0 	24 	0.0 	0.541666666667 	0.166666666667 	0.0833333333333 	0.208333333333 	0.541666666667 	0.0 	0.0 	0.0 	0.0833333333333 	0.166666666667 	0.208333333333 	0.0 
Pf3D7_07_v3	570000	580000	10000	1090	2754	98.062	5.0513	6.4161	98.062	45.9660550459	22.66194626 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	580000	590000	10000	2780	2068	100.4175	14.0044	11.2309	100.4175	50.0575539568	54.0043520309 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	590000	600000	10000	3210	3355	100.2489	26.1826	22.8027	100.2489	81.2199376947	67.7782414307 	40 	0.0 	0.6 	0.4 	0.0 	0.0 	0.0 	0.075 	0.525 	0.0 	0.0 	0.4 	0.0 	0.0 	2 	0.0 	0.5 	0.0 	0.0 	0.5 	0.0 	0.0 	1.0 	0.0 	0.0 	0.0 	0.0 	0.0 
Pf3D7_07_v3	600000	610000	10000	9884	9882	95.9966	97.0248	101.3543	95.9966	98.1621813031	102.561526007 	218 	0.0 	0.165137614679 	0.550458715596 	0.284403669725 	0.0 	0.0366972477064 	0.110091743119 	0.0183486238532 	0.0229357798165 	0.00917431192661 	0.518348623853 	0.284403669725 	0.0 	42 	0.0 	0.428571428571 	0.261904761905 	0.047619047619 	0.261904761905 	0.0952380952381 	0.190476190476 	0.238095238095 	0.0714285714286 	0.0714285714286 	0.214285714286 	0.119047619048 	0.0 
Pf3D7_07_v3	610000	620000	10000	9992	9996	98.611	97.4391	105.1593	98.611	97.5148118495	105.200580232 	55 	0.0 	0.254545454545 	0.181818181818 	0.563636363636 	0.0 	0.181818181818 	0.0545454545455 	0.0181818181818 	0.0 	0.0181818181818 	0.163636363636 	0.563636363636 	0.0 	23 	0.0 	0.434782608696 	0.217391304348 	0.173913043478 	0.173913043478 	0.391304347826 	0.0434782608696 	0.0869565217391 	0.0 	0.0434782608696 	0.217391304348 	0.217391304348 	0.0 
Pf3D7_07_v3	620000	630000	10000	10000	10000	100.2337	98.656	101.8358	100.2337	98.656	101.8358 	50 	0.0 	0.34 	0.14 	0.52 	0.0 	0.08 	0.24 	0.02 	0.04 	0.04 	0.06 	0.52 	0.0 	14 	0.0 	0.428571428571 	0.142857142857 	0.214285714286 	0.214285714286 	0.5 	0.0714285714286 	0.0 	0.0 	0.0 	0.142857142857 	0.285714285714 	0.0 
Pf3D7_07_v3	630000	640000	10000	9996	9996	99.4323	97.6905	98.4755	99.4323	97.7285914366	98.5135054022 	32 	0.0 	0.3125 	0.1875 	0.5 	0.0 	0.1875 	0.09375 	0.03125 	0.0 	0.0 	0.1875 	0.5 	0.0 	18 	0.0 	0.388888888889 	0.277777777778 	0.166666666667 	0.166666666667 	0.333333333333 	0.166666666667 	0.0555555555556 	0.0 	0.111111111111 	0.166666666667 	0.166666666667 	0.0 
Pf3D7_07_v3	640000	650000	10000	10000	10000	100.676	99.707	102.6707	100.676	99.707	102.6707 	29 	0.0 	0.379310344828 	0.241379310345 	0.379310344828 	0.0 	0.172413793103 	0.206896551724 	0.0 	0.0 	0.0344827586207 	0.206896551724 	0.379310344828 	0.0 	22 	0.0 	0.409090909091 	0.363636363636 	0.136363636364 	0.0909090909091 	0.409090909091 	0.0909090909091 	0.0 	0.0 	0.0 	0.363636363636 	0.136363636364 	0.0 
Pf3D7_07_v3	650000	660000	10000	10000	9902	97.5768	97.7229	97.811	97.5768	97.7229	98.7766107857 	31 	0.0 	0.41935483871 	0.161290322581 	0.41935483871 	0.0 	0.193548387097 	0.225806451613 	0.0 	0.0 	0.0 	0.161290322581 	0.41935483871 	0.0 	15 	0.0666666666667 	0.666666666667 	0.2 	0.0 	0.0666666666667 	0.533333333333 	0.133333333333 	0.0666666666667 	0.0 	0.0 	0.2 	0.0 	0.0666666666667 
Pf3D7_07_v3	660000	670000	10000	9992	9992	99.8006	102.6922	100.0534	99.8006	102.773919135	100.132506005 	37 	0.189189189189 	0.243243243243 	0.0540540540541 	0.513513513514 	0.0 	0.027027027027 	0.216216216216 	0.0 	0.0 	0.0 	0.0540540540541 	0.513513513514 	0.189189189189 	20 	0.0 	0.65 	0.15 	0.1 	0.1 	0.4 	0.15 	0.15 	0.0 	0.0 	0.15 	0.15 	0.0 
Pf3D7_07_v3	670000	680000	10000	9995	9996	99.5352	100.5304	95.4224	99.5352	100.579489745	95.4605842337 	33 	0.0 	0.363636363636 	0.212121212121 	0.424242424242 	0.0 	0.30303030303 	0.0606060606061 	0.0 	0.0606060606061 	0.0 	0.151515151515 	0.424242424242 	0.0 	18 	0.0 	0.333333333333 	0.277777777778 	0.222222222222 	0.166666666667 	0.333333333333 	0.111111111111 	0.0 	0.0 	0.0 	0.277777777778 	0.277777777778 	0.0 
Pf3D7_07_v3	680000	690000	10000	9965	9965	100.808	101.3048	94.0106	100.808	101.659909684	94.3403913698 	36 	0.0 	0.222222222222 	0.138888888889 	0.638888888889 	0.0 	0.166666666667 	0.0555555555556 	0.0 	0.0 	0.0 	0.138888888889 	0.638888888889 	0.0 	25 	0.0 	0.2 	0.12 	0.32 	0.36 	0.28 	0.04 	0.12 	0.0 	0.08 	0.08 	0.4 	0.0 
Pf3D7_07_v3	690000	700000	10000	9994	9995	100.2028	96.4002	100.391	100.2028	96.4567740644	100.43941971 	23 	0.0 	0.173913043478 	0.173913043478 	0.652173913043 	0.0 	0.130434782609 	0.0434782608696 	0.0 	0.0434782608696 	0.0 	0.130434782609 	0.652173913043 	0.0 	28 	0.0 	0.25 	0.214285714286 	0.321428571429 	0.214285714286 	0.25 	0.0 	0.107142857143 	0.0 	0.0 	0.214285714286 	0.428571428571 	0.0 
Pf3D7_07_v3	700000	710000	10000	10000	10000	99.6058	97.9925	100.637	99.6058	97.9925	100.637 	40 	0.0 	0.25 	0.225 	0.525 	0.0 	0.125 	0.1 	0.025 	0.0 	0.05 	0.175 	0.525 	0.0 	26 	0.0 	0.384615384615 	0.192307692308 	0.192307692308 	0.230769230769 	0.384615384615 	0.115384615385 	0.0 	0.0 	0.0384615384615 	0.230769230769 	0.230769230769 	0.0 
Pf3D7_07_v3	710000	720000	10000	10000	10000	101.2341	95.6381	110.3278	101.2341	95.6381	110.3278 	38 	0.0 	0.236842105263 	0.184210526316 	0.578947368421 	0.0 	0.157894736842 	0.0789473684211 	0.0 	0.0 	0.0263157894737 	0.157894736842 	0.578947368421 	0.0 	21 	0.0 	0.238095238095 	0.238095238095 	0.333333333333 	0.190476190476 	0.190476190476 	0.0952380952381 	0.0 	0.0 	0.0952380952381 	0.142857142857 	0.47619047619 	0.0 
Pf3D7_07_v3	720000	730000	10000	9988	10000	98.0561	93.6299	96.6025	98.0561	93.7414897877	96.6025 	27 	0.0 	0.259259259259 	0.222222222222 	0.518518518519 	0.0 	0.148148148148 	0.111111111111 	0.0 	0.0 	0.0740740740741 	0.148148148148 	0.518518518519 	0.0 	41 	0.0 	0.365853658537 	0.219512195122 	0.170731707317 	0.243902439024 	0.390243902439 	0.0731707317073 	0.0487804878049 	0.0 	0.0243902439024 	0.19512195122 	0.268292682927 	0.0 
Pf3D7_07_v3	730000	740000	10000	9930	9991	98.2111	100.7477	99.7647	98.2111	101.455790534	99.8534681213 	23 	0.0 	0.434782608696 	0.217391304348 	0.347826086957 	0.0 	0.304347826087 	0.130434782609 	0.0 	0.0 	0.0869565217391 	0.130434782609 	0.347826086957 	0.0 	31 	0.0 	0.258064516129 	0.225806451613 	0.129032258065 	0.387096774194 	0.451612903226 	0.0322580645161 	0.0322580645161 	0.0 	0.161290322581 	0.129032258065 	0.193548387097 	0.0 
Pf3D7_07_v3	740000	750000	9980	9957	9997	98.8088	100.4231	100.2007	99.0012024048	100.854574671	100.229568871 	49 	0.0 	0.530612244898 	0.142857142857 	0.326530612245 	0.0 	0.367346938776 	0.163265306122 	0.0 	0.0204081632653 	0.0612244897959 	0.0612244897959 	0.326530612245 	0.0 	46 	0.0 	0.630434782609 	0.108695652174 	0.0217391304348 	0.239130434783 	0.434782608696 	0.152173913043 	0.217391304348 	0.0 	0.0869565217391 	0.0652173913043 	0.0434782608696 	0.0 
