Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	576	408	399	622	347	652	677	620	652	11913	11831	11901	11919	11856	12422	12545	12502
Th106.09		0	358	359	121	343	125	140	107	88	11998	11911	12007	12018	11935	12542	12604	12612
Th106.11			0	111	403	105	453	418	391	385	12039	11963	12055	12055	11956	12619	12698	12694
Th117.11				0	410	111	427	419	386	404	12007	11925	12029	12030	11967	12594	12681	12670
Th132.11					0	398	164	139	106	144	12005	11929	12003	12030	11964	12557	12683	12628
Th134.11						0	408	420	390	384	11997	11935	11980	12031	11948	12597	12655	12663
Th162.12							0	176	160	188	12091	12014	12073	12123	12012	12657	12776	12726
Th196.12								0	124	155	12116	12025	12086	12123	12068	12621	12727	12680
Th230.12									0	129	12030	11971	12025	12035	11981	12589	12671	12682
Th074.13										0	12028	11951	12042	12099	12021	12632	12719	12701
Th166.12											0	175	219	223	197	13791	13886	13881
Th092.13												0	214	262	203	13689	13803	13790
Th211.13													0	280	234	13826	13925	13928
Th245.13														0	281	13845	13965	13930
Th246.13															0	13729	13870	13841
Th068.12																0	356	297
Th061.13																	0	282
Th095.13																		0
